title,app_id,manifest_version,script-scr:unsafe-eval,script-scr:unsafe-eval-base64-hash,script-scr:unsafe-inline,script-scr:unsafe-inline-base64-hash,script-src:non-localhost-http-url,style-scr:unsafe-eval,style-scr:unsafe-eval-base64-hash,style-scr:unsafe-inline,style-scr:unsafe-inline-base64-hash,style-src:non-localhost-http-url,good#default-src,good#base-uri,good#form-action,good#frame-ancestors,good#plugin-types,good#report-uri,good#sandbox
Zoho Meeting,ajnmfincdldfcodgpglmolicgglkdeof,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
red dead redemption 2 Full HD Custom New Tab,ajoccmamofnbgjfepacghlfedjkfojek,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BetterTTV,ajopnjidmegmdimjlfnijceegpefgped,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vookmark,ajpfgljldffcnbjenpnkcbkkkcflkpbo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEOquake,akdgnmcogleenhbclghghlkkdndkjdjc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DashNotes,akejfagjhbihofnhibbkdlhmoflckfdk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simple Webpage Note,akfajpjakckpkbhjmollinmpojhndafp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Superman Wallpapers HD Man of Steel New Tab,akgkjeeanidoelhjgmoimmnolgfmdkpp,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webpage Screenshot - Entire page screenshot,akgpcdalpfphjmfifkmfbpdmgdmeeaeo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tab Finder,akikgmngikhdhecndjkjcacfefdbnnin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Google Arts & Culture,akimgimeeoiognljlfchpbkpfbmeapkh,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
App for Instagram with DM,akjdjdmoapeffgicjnaggfhdhmiglcik,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Mans Sky New Tab & Wallpapers Collection,akkafnnchgehaneicfibckailmlagpeo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neymar Wallpapers HD New Tab Themes,akkimiddfdokiadcdenohflehopngnho,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nature Wallpaper HD Custom New Tab,akpcbdjjofgacpgojcennocojkdnaiei,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men in Black International Wallpapers New Tab,albkhhjmnoeblnbkocmaoldpjlbjpkki,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAB - Wise Ads Block,alcmakjhknigccfidaelkafjmfifkhkc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirby New Tab & Wallpapers Collection,alfogahneabccimnidcdjcaebohmpilc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pomotodo,algakdpepofkajponmledaldoloboinf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winter Snow Wallpaper HD Custom New Tab,alhanpjokocehjfmakhfffmelbbnbjjl,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X Men Wolverine Tabs & X Men Wolverine Games,alhelmmhmlnfndgobpncgfmmjbpnbpnm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
God Of War 4 Wallpaper HD Custom New Tab,alibjplfbgcedophcpanoanlklcnjjgp,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prophet,alikckkmddkoooodkchoheabgakpopmg,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
BTS Jimin & Jungkook Wallpaper Custom New Tab,almjnmmmlckjljlcagbmkhicpgglkigk,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoho Screen Sharing,alojhmccmalcppopolaegbopeiakokne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adblocker for Chrome - NoAds,alplpnakfeabeiebipdmaenpmbgknjce,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Thor New Tab & Wallpapers Collection,ambbppleeoapolninpphplpohjleofop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eJOY English - Word Master,amfojhdiedpdnlijjbhjnhokbnohfdfb,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TooManyTabs for Chrome,amigcgbheognjmfkaieeeadojiibgbdp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Send Anywhere (For GmailSlack),amjmjholfoknokffkiolahocokcaecnc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
